name,date,total
Keller Hall,8/20/2018 21:00,52
Keller Hall,8/20/2018 22:00,37
Keller Hall,8/20/2018 23:00,21
Keller Hall,8/21/2018 0:00,18
Keller Hall,8/21/2018 1:00,12
Keller Hall,8/21/2018 2:00,14
Keller Hall,8/21/2018 3:00,12
Keller Hall,8/21/2018 4:00,11
Keller Hall,8/21/2018 5:00,23
Keller Hall,8/21/2018 6:00,66
Keller Hall,8/21/2018 7:00,289
Keller Hall,8/21/2018 8:00,807
Keller Hall,8/21/2018 9:00,713
Keller Hall,8/21/2018 10:00,1172
Keller Hall,8/21/2018 11:00,1364
Keller Hall,8/21/2018 12:00,930
Keller Hall,8/21/2018 13:00,1239
Keller Hall,8/21/2018 14:00,907
Keller Hall,8/21/2018 15:00,561
Keller Hall,8/21/2018 16:00,556
Keller Hall,8/21/2018 17:00,325
Keller Hall,8/21/2018 18:00,207
Keller Hall,8/21/2018 19:00,133
Keller Hall,8/21/2018 20:00,75
Keller Hall,8/21/2018 21:00,70
Keller Hall,8/21/2018 22:00,14
Keller Hall,8/21/2018 23:00,13
Keller Hall,8/22/2018 0:00,14
Keller Hall,8/22/2018 1:00,12
Keller Hall,8/22/2018 2:00,11
Keller Hall,8/22/2018 3:00,9
Keller Hall,8/22/2018 4:00,12
Keller Hall,8/22/2018 5:00,17
Keller Hall,8/22/2018 6:00,73
Keller Hall,8/22/2018 7:00,256
Keller Hall,8/22/2018 8:00,624
Keller Hall,8/22/2018 9:00,1020
Keller Hall,8/22/2018 10:00,1158
Keller Hall,8/22/2018 11:00,1390
Keller Hall,8/22/2018 12:00,1447
Keller Hall,8/22/2018 13:00,1222
Ocean Center for Microbial Oceanography Research and Education,8/16/2018 11:00,19
Ocean Center for Microbial Oceanography Research and Education,8/16/2018 12:00,58
Ocean Center for Microbial Oceanography Research and Education,8/16/2018 13:00,103
Ocean Center for Microbial Oceanography Research and Education,8/16/2018 14:00,66
Ocean Center for Microbial Oceanography Research and Education,8/16/2018 15:00,48
Ocean Center for Microbial Oceanography Research and Education,8/16/2018 16:00,45
Ocean Center for Microbial Oceanography Research and Education,8/16/2018 17:00,101
Ocean Center for Microbial Oceanography Research and Education,8/16/2018 18:00,46
Ocean Center for Microbial Oceanography Research and Education,8/16/2018 19:00,11
Ocean Center for Microbial Oceanography Research and Education,8/16/2018 20:00,13
Ocean Center for Microbial Oceanography Research and Education,8/16/2018 21:00,11
Ocean Center for Microbial Oceanography Research and Education,8/16/2018 22:00,6
Ocean Center for Microbial Oceanography Research and Education,8/16/2018 23:00,8
Ocean Center for Microbial Oceanography Research and Education,8/17/2018 0:00,7
Ocean Center for Microbial Oceanography Research and Education,8/17/2018 1:00,5
Ocean Center for Microbial Oceanography Research and Education,8/17/2018 2:00,6
Ocean Center for Microbial Oceanography Research and Education,8/17/2018 3:00,6
Ocean Center for Microbial Oceanography Research and Education,8/17/2018 4:00,6
Ocean Center for Microbial Oceanography Research and Education,8/17/2018 5:00,6
Ocean Center for Microbial Oceanography Research and Education,8/17/2018 6:00,8
Ocean Center for Microbial Oceanography Research and Education,8/17/2018 7:00,11
Ocean Center for Microbial Oceanography Research and Education,8/17/2018 8:00,10
Ocean Center for Microbial Oceanography Research and Education,8/17/2018 9:00,27
Ocean Center for Microbial Oceanography Research and Education,8/17/2018 10:00,40
Ocean Center for Microbial Oceanography Research and Education,8/17/2018 11:00,29
Ocean Center for Microbial Oceanography Research and Education,8/17/2018 12:00,34
Ocean Center for Microbial Oceanography Research and Education,8/17/2018 13:00,27
Ocean Center for Microbial Oceanography Research and Education,8/17/2018 14:00,29
Ocean Center for Microbial Oceanography Research and Education,8/17/2018 15:00,20
Ocean Center for Microbial Oceanography Research and Education,8/17/2018 16:00,22
Ocean Center for Microbial Oceanography Research and Education,8/17/2018 17:00,18
Ocean Center for Microbial Oceanography Research and Education,8/17/2018 18:00,21
Ocean Center for Microbial Oceanography Research and Education,8/17/2018 19:00,16
Ocean Center for Microbial Oceanography Research and Education,8/17/2018 20:00,8
Ocean Center for Microbial Oceanography Research and Education,8/17/2018 21:00,11
Ocean Center for Microbial Oceanography Research and Education,8/17/2018 22:00,8
Ocean Center for Microbial Oceanography Research and Education,8/17/2018 23:00,7
Ocean Center for Microbial Oceanography Research and Education,8/18/2018 0:00,5
Ocean Center for Microbial Oceanography Research and Education,8/18/2018 1:00,3
Ocean Center for Microbial Oceanography Research and Education,8/18/2018 2:00,7
Ocean Center for Microbial Oceanography Research and Education,8/18/2018 3:00,3
